GEOID,NAME,Total_Population,Median_Household_Income,Poverty_Count,Poverty_Rate,Total_Housing_Units_Calc,Occupied_Housing_Units,Vacant_Housing_Units,Vacancy_Rate,tract,year
56021000300,"Census Tract 3, Laramie County, Wyoming",3771.0,64545.0,246.0,0.06523468575974542,1498.0,1340.0,158.0,0.1054739652870494,000300,2017
56021000401,"Census Tract 4.01, Laramie County, Wyoming",5081.0,54541.0,783.0,0.15410352292855736,1989.0,1818.0,171.0,0.08597285067873303,000401,2017
56021001501,"Census Tract 15.01, Laramie County, Wyoming",5354.0,68031.0,244.0,0.04557340306313037,2148.0,1973.0,175.0,0.08147113594040968,001501,2017
56021000200,"Census Tract 2, Laramie County, Wyoming",4318.0,43213.0,774.0,0.1792496526169523,2321.0,1903.0,418.0,0.18009478672985782,000200,2017
56021000900,"Census Tract 9, Laramie County, Wyoming",2947.0,70786.0,210.0,0.07125890736342043,1404.0,1292.0,112.0,0.07977207977207977,000900,2017
56021000501,"Census Tract 5.01, Laramie County, Wyoming",8714.0,74960.0,948.0,0.108790452145972,3311.0,3157.0,154.0,0.046511627906976744,000501,2018
56021001401,"Census Tract 14.01, Laramie County, Wyoming",3996.0,76111.0,373.0,0.09334334334334335,1643.0,1520.0,123.0,0.07486305538648813,001401,2018
56021001402,"Census Tract 14.02, Laramie County, Wyoming",2714.0,75000.0,203.0,0.07479734708916728,1115.0,1040.0,75.0,0.06726457399103139,001402,2018
56021001901,"Census Tract 19.01, Laramie County, Wyoming",5455.0,95497.0,260.0,0.04766269477543538,2097.0,2045.0,52.0,0.02479732951835956,001901,2018
56021001902,"Census Tract 19.02, Laramie County, Wyoming",4326.0,83231.0,224.0,0.05177993527508091,2004.0,1700.0,304.0,0.15169660678642716,001902,2018
56021980801,"Census Tract 9808.01, Laramie County, Wyoming",0.0,,0.0,,0.0,0.0,0.0,,980801,2018
56021002000,"Census Tract 20, Laramie County, Wyoming",9411.0,80379.0,709.0,0.07533737116140686,3722.0,3409.0,313.0,0.08409457281031703,002000,2018
56021000600,"Census Tract 6, Laramie County, Wyoming",5815.0,55703.0,650.0,0.1117798796216681,2939.0,2625.0,314.0,0.10683906090506975,000600,2018
56021000700,"Census Tract 7, Laramie County, Wyoming",3981.0,29119.0,840.0,0.21100226073850792,2341.0,1973.0,368.0,0.15719777872703972,000700,2018
56021000800,"Census Tract 8, Laramie County, Wyoming",1793.0,64964.0,146.0,0.08142777467930842,870.0,818.0,52.0,0.059770114942528735,000800,2018
56021001000,"Census Tract 10, Laramie County, Wyoming",3123.0,56346.0,167.0,0.05347422350304195,1630.0,1428.0,202.0,0.12392638036809817,001000,2018
56021001300,"Census Tract 13, Laramie County, Wyoming",8084.0,84077.0,349.0,0.043171697179614055,3597.0,3597.0,0.0,0.0,001300,2018
56021000402,"Census Tract 4.02, Laramie County, Wyoming",6612.0,39832.0,1048.0,0.15849969751966123,2727.0,2566.0,161.0,0.05903923725705904,000402,2018
56021001100,"Census Tract 11, Laramie County, Wyoming",2300.0,71314.0,6.0,0.0026086956521739132,554.0,491.0,63.0,0.11371841155234658,001100,2018
56021001200,"Census Tract 12, Laramie County, Wyoming",4830.0,91474.0,127.0,0.02629399585921325,2297.0,1974.0,323.0,0.14061819764910752,001200,2018
56021001502,"Census Tract 15.02, Laramie County, Wyoming",4809.0,40132.0,984.0,0.20461634435433562,2576.0,2208.0,368.0,0.14285714285714285,001502,2018
56021000300,"Census Tract 3, Laramie County, Wyoming",3878.0,67500.0,330.0,0.0850954100051573,1479.0,1360.0,119.0,0.08045977011494253,000300,2018
56021000401,"Census Tract 4.01, Laramie County, Wyoming",5028.0,55231.0,812.0,0.1614956245027844,2073.0,1856.0,217.0,0.10467920887602508,000401,2018
56021001501,"Census Tract 15.01, Laramie County, Wyoming",5254.0,64418.0,180.0,0.03425961172440046,2323.0,2160.0,163.0,0.07016788635385278,001501,2018
56021000200,"Census Tract 2, Laramie County, Wyoming",4782.0,46129.0,969.0,0.20263488080301129,2233.0,2005.0,228.0,0.10210479175996418,000200,2018
56021000900,"Census Tract 9, Laramie County, Wyoming",2787.0,77656.0,215.0,0.07714388231072838,1391.0,1247.0,144.0,0.10352264557872035,000900,2018
56021002000,"Census Tract 20, Laramie County, Wyoming",9853.0,87234.0,820.0,0.08322338374099258,3741.0,3509.0,232.0,0.06201550387596899,002000,2019
56021000600,"Census Tract 6, Laramie County, Wyoming",5969.0,62348.0,649.0,0.10872843022281789,2953.0,2677.0,276.0,0.0934642736200474,000600,2019
56021000700,"Census Tract 7, Laramie County, Wyoming",3954.0,31882.0,805.0,0.2035912999494183,2389.0,2026.0,363.0,0.15194642109669318,000700,2019
56021000800,"Census Tract 8, Laramie County, Wyoming",1801.0,66172.0,133.0,0.07384786229872294,858.0,807.0,51.0,0.05944055944055944,000800,2019
56021001000,"Census Tract 10, Laramie County, Wyoming",3163.0,63542.0,153.0,0.04837179892507114,1661.0,1466.0,195.0,0.11739915713425647,001000,2019
56021001300,"Census Tract 13, Laramie County, Wyoming",8203.0,86761.0,396.0,0.048275021333658415,3706.0,3688.0,18.0,0.004856988667026443,001300,2019
56021000402,"Census Tract 4.02, Laramie County, Wyoming",6626.0,43337.0,1133.0,0.17099305765167522,2747.0,2513.0,234.0,0.085183836912996,000402,2019
56021001100,"Census Tract 11, Laramie County, Wyoming",2456.0,75142.0,20.0,0.008143322475570033,595.0,539.0,56.0,0.09411764705882353,001100,2019
56021001200,"Census Tract 12, Laramie County, Wyoming",4662.0,82292.0,244.0,0.05233805233805234,2295.0,2017.0,278.0,0.12113289760348583,001200,2019
